"","FeatureName","FeatureType","DateCode","Waste.Management","Tonnes"
"400","Highland","Council Area",2012,"Other Diversion",1857.3
"401","Inverclyde","Council Area",2012,"Other Diversion",612.3
"402","Midlothian","Council Area",2012,"Other Diversion",60.8
"403","Moray","Council Area",2012,"Other Diversion",0
"404","Na h-Eileanan Siar","Council Area",2012,"Other Diversion",1888.8
"405","North Ayrshire","Council Area",2012,"Other Diversion",574
"406","North Lanarkshire","Council Area",2012,"Other Diversion",126.7
"407","Orkney Islands","Council Area",2012,"Other Diversion",5566.4
"408","Perth and Kinross","Council Area",2012,"Other Diversion",911.9
"409","Renfrewshire","Council Area",2012,"Other Diversion",3176.7
"410","Scottish Borders","Council Area",2012,"Other Diversion",773.3
"411","Shetland Islands","Council Area",2012,"Other Diversion",7603.4
"412","South Ayrshire","Council Area",2012,"Other Diversion",1144.9
"413","South Lanarkshire","Council Area",2012,"Other Diversion",362.6
"414","Stirling","Council Area",2012,"Other Diversion",689
"415","West Dunbartonshire","Council Area",2012,"Other Diversion",157.4
"416","West Lothian","Council Area",2012,"Other Diversion",226.5
"417","Aberdeen City","Council Area",2013,"Other Diversion",109.1
"418","Aberdeenshire","Council Area",2013,"Other Diversion",170
"419","Angus","Council Area",2013,"Other Diversion",5577.7
"420","Argyll and Bute","Council Area",2013,"Other Diversion",8639
"421","City of Edinburgh","Council Area",2013,"Other Diversion",2392.4
"422","Clackmannanshire","Council Area",2013,"Other Diversion",1754.8
"423","Dumfries and Galloway","Council Area",2013,"Other Diversion",27295.6
"424","Dundee City","Council Area",2013,"Other Diversion",15579.2
"425","East Ayrshire","Council Area",2013,"Other Diversion",1333.4
"426","East Dunbartonshire","Council Area",2013,"Other Diversion",4670
"427","East Lothian","Council Area",2013,"Other Diversion",0
"428","East Renfrewshire","Council Area",2013,"Other Diversion",79.6
"429","Falkirk","Council Area",2013,"Other Diversion",1954
"430","Fife","Council Area",2013,"Other Diversion",1966.2
"431","Glasgow City","Council Area",2013,"Other Diversion",0
"432","Highland","Council Area",2013,"Other Diversion",3924.5
"433","Inverclyde","Council Area",2013,"Other Diversion",31.8
"434","Midlothian","Council Area",2013,"Other Diversion",52
"435","Moray","Council Area",2013,"Other Diversion",0
"436","Na h-Eileanan Siar","Council Area",2013,"Other Diversion",1712.7
"437","North Ayrshire","Council Area",2013,"Other Diversion",726.7
"438","North Lanarkshire","Council Area",2013,"Other Diversion",11829.5
"439","Orkney Islands","Council Area",2013,"Other Diversion",5796.8
"440","Perth and Kinross","Council Area",2013,"Other Diversion",3420.9
"441","Renfrewshire","Council Area",2013,"Other Diversion",3327.1
"442","Scottish Borders","Council Area",2013,"Other Diversion",1242.3
"443","Shetland Islands","Council Area",2013,"Other Diversion",6636.3
"444","South Ayrshire","Council Area",2013,"Other Diversion",4848.5
"445","South Lanarkshire","Council Area",2013,"Other Diversion",375.5
"446","Stirling","Council Area",2013,"Other Diversion",3958.3
"447","West Dunbartonshire","Council Area",2013,"Other Diversion",275.9
"448","West Lothian","Council Area",2013,"Other Diversion",778.6
"449","Aberdeen City","Council Area",2014,"Other Diversion",286
"450","Aberdeenshire","Council Area",2014,"Other Diversion",177.2
"451","Angus","Council Area",2014,"Other Diversion",13049.6
"452","Argyll and Bute","Council Area",2014,"Other Diversion",9511.3
